id,tokens,ner_tags
2623,"['Comparison' 'of' 'sequences' 'of' 'ovine' 'and' 'bovine' ',' 'rat' 'and'
 'guinea' '-' 'pig' 'alpha' 's1' '-' 'casein' 'mRNAs' 'has' 'revealed' 'a'
 'greater' 'homology' 'in' 'the' '3' ""'"" 'and' 'especially' '5' ""'"" 'non'
 'coding' 'regions' '.']",[0 0 0 0 0 0 0 0 0 0 1 2 2 2 2 2 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
2624,"['Comparison' 'with' 'a' 'recently' 'described' 'c' '-' 'sis' 'cDNA'
 'clone' '(' 'Collins' 'et' 'al' '.' ',' 'Nature' '316' ',' '748' '-'
 '750' '(' '1985' ')' ')' 'revealed' 'that' 'the' '1' '.' '9' 'kbp' 'DNA'
 'region' 'contained' 'a' 'large' '5' ""'"" 'c' '-' 'sis' 'exon' 'of' 'at'
 'least' '1050' 'bp' '.']","[0 0 0 0 0 1 2 2 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 1 2 2 2 2 2 0 0 0 0 0 0]"
2625,"['It' 'was' 'also' 'suggested' 'that' 'the' 'biological' 'activities' 'of'
 '5' '-' 'FU' ',' 'ADM' 'and' 'MMC' 'in' 'FAMLIP' 'were' 'stable' 'in'
 'FULIP' ',' 'ADRLIP' 'and' 'MMCLIP' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
2626,"['Surprisingly' ',' 'a' 'C' 'to' 'G' 'transversion' 'at' 'the' 'first'
 'residue' 'of' 'the' 'CAT' 'pentanucleotide' ',' 'which' 'severely'
 'impairs' 'the' 'activity' 'of' 'both' 'promoters' ',' 'appears' 'to'
 'increase' 'affinity' 'of' 'the' 'CAT' 'binding' 'protein' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 2 0]
2627,"['The' 'nucleotide' 'sequence' 'of' '3874' 'bp' 'of' 'cloned' 'R' '.'
 'sphaeroides' 'chromosomal' 'DNA' ',' 'including' 'the' 'three'
 'structural' 'genes' 'fbcF' ',' 'fbcB' 'and' 'fbcC' 'has' 'been'
 'determined' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0]
2628,"['The' 'N' '-' 'terminal' 'sequence' 'of' 'one' 'hydrophilic' 'peptide'
 'of' 'the' 'FeS' 'protein' 'has' 'been' 'also' 'obtained' 'confirming'
 'the' 'fbcF' 'reading' 'frame' '.']",[0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 1 0 0 0]
2629,"['The' '5' ""'"" 'and' '3' ""'"" 'untranslated' 'sequences' 'contain'
 'characteristic' 'sequences' 'that' 'are' 'involved' 'in' 'the'
 'initiation' 'and' 'termination' 'of' 'transcription' ',' 'including'
 'two' 'possible' 'promoters' ',' 'one' 'of' 'which' 'may' 'contain' 'two'
 'overlapping' '-' '10' 'sequences' '.']","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0]"
2630,"['Unlike' 'P135gag' '-' 'myb' '-' 'ets' 'and' 'the' 'Mr' '75' ',' '000'
 'translation' 'product' 'of' 'c' '-' 'myb' '(' 'P75c' '-' 'myb' ')' ','
 'which' 'are' 'nuclear' 'proteins' ',' 'P54c' '-' 'ets' 'was' 'found'
 'to' 'be' 'predominantly' 'cytoplasmic' '.']","[0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 1 2 2 0 1 2 2 0 0 0 0 0 0 0 1 2 2 0 0 0 0 0
 0 0]"
2631,"['The' 'Dox' '-' 'A2' 'locus' 'is' 'within' '3' '.' '4' 'to' '4' '.' '4'
 'kb' 'of' 'the' 'Df' '(' '2L' ')' 'OD15' 'breakpoint' ',' 'placing'
 'four' 'of' 'the' 'vital' 'loci' 'within' 'a' 'maximum' 'of' '15' '.' '5'
 'kb' '.']","[0 1 2 2 2 0 0 0 0 0 0 0 0 0 0 0 0 1 2 2 2 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0]"
2632,"['The' 'C' '-' 'terminal' 'end' 'of' 'this' 'polypeptide' 'harbors'
 'three' 'types' 'of' 'repeated' 'sequences' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
2633,"['Further' 'outbreaks' 'of' 'ocular' 'disease' 'in' 'farmed' 'red' 'deer'
 'calves' 'caused' 'by' 'HVC' '-' '1' 'were' 'investigated' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
2634,"['From' 'our' 'ultrastructural' 'and' 'biochemical' 'studies' ',' 'it'
 'is' 'evident' 'that' 'Type' 'II' 'pneumocytes' 'are' 'an' 'early'
 'target' 'of' 'radiation' 'and' 'the' 'release' 'of' 'surfactant' 'into'
 'the' 'alveolus' 'shortly' 'after' 'exposure' 'persists' 'for' 'days'
 'and' 'weeks' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
2635,"['Thirty' 'of' 'the' 'clones' 'contained' 'a' 'complete' '340' 'base' '-'
 'pair' 'dimer' 'unit' 'of' 'the' 'repeat' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
2636,"['Two' 'copies' 'of' 'the' '72' '-' 'bp' 'repeat' 'provided' 'efficient'
 'activation' 'of' 'gene' 'expression' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
2637,"['The' 'open' 'reading' 'frames' 'of' 'rbsD' ',' 'rbsA' ',' 'and' 'rbsC'
 'encode' 'proteins' 'of' '139' ',' '501' ',' 'and' '321' 'amino' 'acid'
 'residues' ',' 'respectively' '.']",[0 0 0 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
2638,"['Cattaneo' ',' 'and' 'J' '.']",[0 0 0 0 0]
2639,"['Human' 'alpha' '-' 'galactosidase' 'A' ':' 'nucleotide' 'sequence' 'of'
 'a' 'cDNA' 'clone' 'encoding' 'the' 'mature' 'enzyme' '.']",[1 2 2 2 2 0 0 0 0 0 0 0 0 0 0 0 0]
2640,"['The' 'amino' 'acid' 'sequence' 'was' 'determined' 'to' 'be' 'residues'
 '716' '-' '724' 'and' 'hence' 'lysine' 'residue' '721' 'is' 'located'
 'within' 'the' 'ATP' '-' 'binding' 'site' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
2641,"['Osteocalcin' '(' 'and' 'urinary' 'hydroxyproline' ')' 'were' 'not'
 'elevated' 'in' 'isolated' 'hyperphosphatasaemia' ',' 'indicating' 'that'
 'mechanisms' 'other' 'than' 'increased' 'bone' 'turnover' 'may' 'account'
 'for' 'the' 'markedly' 'elevated' 'serum' 'alkaline' 'phosphatase'
 'activity' 'in' 'these' 'subjects' '.']",[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 2 0 0 0 0 0]
2642,"['Analysis' 'of' 'glucocorticoid' 'unresponsive' 'cell' 'variants' 'using'
 'a' 'mouse' 'glucocorticoid' 'receptor' 'complementary' 'DNA' 'clone' '.']",[0 0 0 0 0 0 0 0 1 2 2 0 0 0 0]
2643,"['Among' 'the' 'v' '-' 'myc' 'codons' ',' 'the' 'first' '5' 'are'
 'derived' 'from' 'the' 'noncoding' '5' ""'"" 'terminus' 'of' 'the' 'second'
 'c' '-' 'myc' 'exon' ',' 'and' '412' 'codons' 'correspond' 'to' 'the' 'c'
 '-' 'myc' 'coding' 'region' '.']","[0 0 1 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 2 0 0 0 0 0 0 0 0 1 2 2 0 0
 0]"
2644,"['A' 'recombinant' 'vector' ',' 'p410' '+' ',' 'was' 'constructed' 'which'
 'carried' 'the' 'BamHI' '-' 'K' 'fragment' '(' 'nucleotides' '107565'
 'to' '112625' 'of' 'the' 'B95' '-' '8' 'strain' ',' 'encoding' 'the'
 'EBV' '-' 'associated' 'nuclear' 'antigen' 'EBNA' '-' '1' ')' ',' 'the'
 'cis' '-' 'acting' 'sequence' 'from' 'the' 'BamHI' '-' 'C' 'fragment' ','
 'and' 'a' 'dominant' 'selectable' 'marker' 'gene' 'encoding' 'G' '-'
 '418' 'resistance' 'in' 'animal' 'cells' '.']","[0 0 0 0 0 0 0 0 0 0 0 0 1 2 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2
 2 0 0 0 0 0 0 0 0 0 1 2 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]"
2645,"['13' 'men' 'with' 'a' 'history' 'of' 'recurrent' 'genital' 'herpes'
 'simplex' 'virus' 'type' '2' '(' 'HSV' '-' '2' ')' 'infection' 'were'
 'followed' 'daily' 'for' '4' 'weeks' 'with' 'samples' 'taken' 'from'
 'the' 'urethra' 'for' 'virus' 'isolation' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
2646,"['Next' ',' 'with' 'carcinoma' 'presenting' 'a' 'leather' 'bottle' '('
 'linitis' 'plastica' 'type' ')' 'of' 'the' 'stomach' 'itself' ',' 'the'
 'II' 'c' 'portion' 'of' 'the' 'stomach' 'consisted' 'of' 'fundic'
 'glands' '(' 'undifferentiated' 'carcinoma' ')' 'shall' 'become' 'the'
 'primary' 'focus' 'supporting' 'Nakamura' ""'"" 's' 'theory' '.']","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0]"
2647,"['During' 'the' 'biosynthesis' 'of' 'all' 'three' 'mutant' 'polypeptides'
 ',' 'the' 'signal' 'peptide' 'is' 'efficiently' 'and' 'accurately'
 'cleaved' 'from' 'the' 'nascent' 'protein' ',' 'even' 'though' 'in'
 'mutants' 'X2' 'and' 'X3' 'the' 'cleavage' 'site' 'itself' 'has' 'been'
 'altered' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
2648,"['The' 'hexanucleotide' '5' ""'"" '-' 'TGTCCT' '-' '3' ""'"" ',' 'thought'
 'to' 'be' 'important' 'for' 'GRE' 'activity' ',' 'not' 'only' 'was'
 'found' 'in' 'this' 'sequence' 'and' 'in' 'the' '5' ""'"" '-' 'flanking'
 'region' ',' 'but' 'also' 'was' 'present' 'twice' 'in' 'the' '3' ""'""
 'end' 'of' 'the' 'gene' 'that' 'did' 'not' 'show' 'specific' 'receptor'
 'binding' '.']","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]"
2649,"['The' 'smallest' 'of' 'the' 'mini' '-' 'Mu' 'elements' 'is' 'only' '7'
 '.' '9' 'kilobase' 'pairs' 'long' ',' 'allowing' 'the' 'cloning' 'of'
 'DNA' 'fragments' 'of' 'up' 'to' '31' '.' '1' 'kilobase' 'pairs' ','
 'and' 'the' 'largest' 'of' 'them' 'is' '21' '.' '7' 'kilobase' 'pairs'
 ',' 'requiring' 'that' 'clones' 'carry' 'insertions' 'of' 'less' 'than'
 '17' '.' '3' 'kilobase' 'pairs' '.']","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]"
2650,"['The' '52' '-' 'protein' 'subunit' 'of' 'T4' 'DNA' 'topoisomerase' 'is'
 'homologous' 'to' 'the' 'gyrA' '-' 'protein' 'of' 'gyrase' '.']",[0 0 0 0 0 0 1 2 2 0 0 0 0 1 2 2 0 1 0]
2651,"['The' 'latent' 'periods' 'from' 'the' 'antral' 'exclusion' 'to' 'the'
 'occurrence' 'of' 'anastomotic' 'ulcers' 'after' 'a' 'subtotal'
 'gastrectomy' 'with' 'Billroth' ""'"" 's' 'type' 'II' 'reconstruction'
 'varied' 'from' 'a' 'few' 'days' 'to' '19' 'years' ',' 'with' 'an'
 'average' 'of' '2' '.' '8' 'years' '.']","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0]"
2652,"['The' 'nucleosomal' 'arrays' 'detected' 'by' 'MPE' 'X' 'Fe' '(' 'II' ')'
 'were' 'characterized' 'by' 'a' 'considerable' 'loss' 'of' 'detail' 'and'
 'significantly' 'enhanced' 'accessibility' ',' 'the' 'extent' 'of'
 'which' 'probably' 'reflected' 'the' 'relative' 'transcription' 'rate'
 'of' 'each' 'gene' '.']","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0]"
2653,"['The' 'molecular' 'weight' 'of' 'in' 'vivo' '-' 'labeled' 'proteins'
 'was' 'increased' 'relative' 'to' 'that' 'of' 'in' 'vitro' '-'
 'translated' 'proteins' ',' 'indicating' 'that' 'a' 'posttranslational'
 'modification' 'had' 'occurred' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
2654,"['Insertion' 'of' '4' 'bp' 'reduced' 'SV40' 'early' 'promoter' '-'
 'dependent' 'chloramphenicol' 'acetyltransferase' '(' 'CAT' ')'
 'expression' 'by' 'six' '-' 'to' 'eightfold' '.']",[0 0 0 0 0 1 2 2 0 0 1 2 0 1 0 0 0 0 0 0 0 0]
2655,"['In' 'the' 'DNAs' 'of' 'all' 'Ph1' '-' 'positive' 'chronic' 'myelocytic'
 'leukemia' 'patients' 'studied' 'to' 'date' ',' 'a' 'breakpoint' 'on'
 'chromosome' '22' '(' 'the' 'Ph1' 'chromosome' ')' 'can' 'be'
 'demonstrated' 'with' 'a' 'probe' 'from' 'the' 'bcr' '(' 'breakpoint'
 'cluster' 'region' ')' '.']","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1
 2 2 0 0]"
2656,"['Nuclease' 'footprinting' 'revealed' 'that' 'purified' 'glucocorticoid'
 'receptor' 'bound' 'at' 'multiple' 'discrete' 'sites' 'within' 'and' 'at'
 'the' 'borders' 'of' 'the' 'tandemly' 'repeated' 'sequence' 'motif'
 'that' 'defines' 'Sa' '.']",[0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0]
2657,"['The' '96' '-' 'bp' 'insert' 'contained' 'a' 'termination' 'signal'
 'which' 'caused' 'the' 'premature' 'termination' 'of' 'the' 'protein' ','
 'leading' 'to' 'the' 'generation' 'of' 'a' 'p53' 'product' '9' 'amino'
 'acids' 'shorter' 'than' 'usual' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0]
2658,"['All' 'tumors' 'proved' 'histologically' 'to' 'be' 'neuroendocrine' 'in'
 'origin' '.']",[0 0 0 0 0 0 0 0 0 0]
2659,"['The' 'coding' 'region' 'of' '2385' 'nucleotides' 'corresponds' 'to' 'a'
 'polypeptide' 'chain' 'of' '795' 'amino' 'acids' ',' 'giving' 'a'
 'molecular' 'weight' 'of' '91' ',' '555' 'for' 'the' 'hsp108' 'protein'
 '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0]
2660,"['Transcriptional' 'control' 'signals' 'of' 'a' 'herpes' 'simplex' 'virus'
 'type' '1' 'late' '(' 'gamma' '2' ')' 'gene' 'lie' 'within' 'bases' '-'
 '34' 'to' '+' '124' 'relative' 'to' 'the' '5' ""'"" 'terminus' 'of' 'the'
 'mRNA' '.']",[0 0 0 0 0 1 2 2 2 2 2 2 2 2 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
2661,"['A' 'noncatalytic' 'domain' 'conserved' 'among' 'cytoplasmic' 'protein'
 '-' 'tyrosine' 'kinases' 'modifies' 'the' 'kinase' 'function' 'and'
 'transforming' 'activity' 'of' 'Fujinami' 'sarcoma' 'virus' 'P130gag' '-'
 'fps' '.']",[0 0 0 0 0 1 2 2 2 2 0 0 0 0 0 0 0 0 1 2 2 2 0 1 0]
2662,"['Gluzman' ',' 'EMBO' 'J' '.']",[0 0 0 0 0]
2663,"['A' 'single' 'exon' 'encodes' 'the' 'carboxyl' '-' 'terminal' '26'
 'amino' 'acids' 'of' 'the' 'ssd' 'chain' 'and' 'the' '3' ""'""
 'untranslated' 'region' 'of' 'its' 'mRNA' ',' 'ending' 'with' 'a' 'poly'
 '(' 'A' ')' '-' 'addition' 'site' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
2664,"['The' '5' ""'"" '-' 'nontranslated' 'sequences' 'and' 'parts' 'of' 'the'
 'coding' 'sequences' 'of' 'various' 'yeast' 'genes' 'have' 'been'
 'cloned' 'into' 'representative' 'lacZ' 'fusion' 'vectors' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0]
2665,"['Two' 'activities' 'of' 'the' 'D' 'protein' 'of' 'the' 'miniF' 'plasmid'
 'have' 'been' 'found' '.']",[0 0 0 0 1 2 0 0 0 0 0 0 0 0]
2666,"['SPECT' 'examination' 'of' 'the' 'TMJ' 'using' '99m' 'Tc' '-' 'MDP' 'was'
 'performed' 'in' '43' 'patients' 'with' 'arthrographically' 'proven'
 'anterior' 'dislocation' 'of' 'the' 'disc' 'and' 'in' '30' 'normals' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
2667,"['Plasma' 'renin' 'activity' 'rose' 'and' 'the' 'plasma' 'aldosterone'
 'level' 'fell' 'after' 'taking' 'lisinopril' '.']",[1 2 0 0 0 0 0 0 0 0 0 0 0 0]
2668,"['The' 'second' 'group' 'of' 'homologous' 'elements' 'is' 'present' 'in'
 'the' 'upstream' 'region' 'of' 'both' 'genes' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
2669,"['Constitutive' 'function' 'of' 'a' 'positively' 'regulated' 'promoter'
 'reveals' 'new' 'sequences' 'essential' 'for' 'activity' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0]
2670,"['We' 'inserted' 'genes' 'or' 'gene' 'segments' ',' 'that' 'code' 'for'
 'the' 'bacterial' 'chloramphenicol' 'acetyltransferase' ',' 'the'
 'bacterial' 'gene' 'conferring' 'resistance' 'against' 'hygromycin' ','
 'and' 'the' 'ORF' 'E7' 'of' 'the' 'human' 'papillomavirus' 'type' '18'
 'into' 'these' 'vectors' '.']",[0 0 0 0 0 0 0 0 0 0 0 1 2 2 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0]
2671,"['By' 'contrast' ',' 'their' 'basal' 'adrenal' 'androgen' 'levels' 'were'
 'significantly' 'decreased' 'compared' 'to' 'those' 'in' 'normal'
 'subjects' 'on' 'both' 'the' 'day' 'on' 'and' 'the' 'day' 'off'
 'prednisone' '(' 'P' 'less' 'than' '0' '.' '05' ')' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
2672,"['Identification' 'of' 'p40x' '-' 'responsive' 'regulatory' 'sequences'
 'within' 'the' 'human' 'T' '-' 'cell' 'leukemia' 'virus' 'type' 'I'
 'long' 'terminal' 'repeat' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
2673,"['During' 'pentobarbital' 'anesthesia' ',' 'the' 'basal' 'VO2' 'was' '5'
 '.' '26' 'ml' '/' 'kg' '/' 'min' 'and' 'was' 'increased' 'by'
 'epinephrine' 'in' 'a' 'dose' 'dependent' 'manner' 'at' 'plasma'
 'concentrations' 'between' '3' '.' '9' 'ng' '/' 'ml' '(' 'VO2' '=' '5'
 '.' '68' 'ml' '/' 'kg' '/' 'min' ')' 'and' '36' '.' '5' 'ng' '/' 'ml' '('
 'VO2' '=' '6' '.' '47' 'ml' '/' 'kg' '/' 'min' ')' '.']","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]"
2674,"['Oligonucleotide' '-' 'directed' 'mutagenesis' 'was' 'used' 'to' 'create'
 'an' 'NdeI' 'restriction' 'site' 'at' 'the' 'natural' 'ATG' 'of' 'the'
 'yeast' 'R' '.']",[0 0 0 0 0 0 0 0 0 1 2 2 0 0 0 0 0 0 0 0 0]
2675,"['ACTH' 'release' 'is' 'transiently' 'suppressed' 'in' 'some' 'children'
 'after' 'exogenous' 'ACTH' 'treatment' '.']",[1 0 0 0 0 0 0 0 0 0 1 0 0]
2676,"['We' 'previously' 'showed' 'that' 'the' 'upstream' 'promoter' 'element'
 'of' 'the' 'yeast' 'RP39A' 'gene' 'consists' 'of' 'these' 'identical'
 'sequence' 'motifs' '.']",[0 0 0 0 0 0 0 0 0 0 1 2 2 0 0 0 0 0 0 0]
2677,"['These' 'data' 'suggest' 'that' 'mammalian' 'erythroid' 'alpha' '-'
 'spectrin' 'evolved' 'by' 'duplication' 'and' 'rapid' 'divergence' 'from'
 'an' 'ancestral' 'alpha' '-' 'fodrin' '-' 'like' 'gene' '.']",[0 0 0 0 0 0 1 2 2 0 0 0 0 0 0 0 0 0 1 2 2 2 2 2 0]
2678,"['One' 'group' 'of' 'six' 'cDNA' 'clones' 'was' 'derived' 'from' 'a' '2'
 '.' '9' '-' 'kilobase' 'early' 'transcript' 'encoded' 'by' 'the' 'IR2'
 'repeat' 'element' 'and' 'showed' 'restriction' 'site' 'polymorphism'
 'for' 'the' 'enzyme' 'SmaI' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0]
2679,"['Combined' 'immunochemotherapy' 'with' 'cyclophosphamide' 'plus' 'BCG'
 'gave' 'a' 'better' 'enhancement' 'of' 'the' 'antitumor' 'effect' 'of'
 'the' 'cytostatic' 'than' 'that' 'of' 'the' 'combination' 'of'
 'methotrexate' 'plus' 'BCG' 'and' 'cyclophosphamide' 'plus' 'levamisole'
 '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
2680,"['Indeed' ',' 'A' '-' 'MuLV' 'pseudotyped' 'with' 'some' 'viruses' ','
 'such' 'as' 'the' 'Moloney' 'MuLV' ',' 'has' 'been' 'shown' 'to' 'be'
 'highly' 'lymphogenic' ',' 'whereas' 'A' '-' 'MuLV' 'pseudotyped' 'with'
 'other' 'viruses' ',' 'such' 'as' 'the' 'BALB' '/' 'c' 'endogenous' 'N'
 '-' 'tropic' 'MuLV' ',' 'has' 'been' 'shown' 'to' 'be' 'devoid' 'of'
 'lymphogenic' 'potential' '(' 'N' '.']","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]"
2681,"['The' 'presence' 'of' 'circulating' 'platelet' 'aggregates' 'and'
 'elevated' 'levels' 'of' 'fibrinopeptide' 'A' '(' 'a' 'cleavage'
 'product' 'of' 'fibrin' ')' 'suggests' 'that' 'platelet' 'activation'
 'and' 'fibrin' 'deposition' 'may' 'play' 'a' 'role' 'in' 'the'
 'pathogenesis' 'of' 'this' 'disorder' '.']",[0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0]
2682,['4' '.'],[0 0]
2683,"['In' 'general' ',' 'the' 'values' 'obtained' 'by' 'the' 'two' 'methods'
 'were' 'in' 'agreement' 'for' 'each' 'species' 'of' 'epidermal' 'growth'
 'factor' 'and' 'followed' 'the' 'order' ':' 'wild' 'type' 'greater'
 'than' 'Glu24' '-' '-' '-' '-' 'Gly' 'greater' 'than' 'Asp27' '-' '-' '-'
 '-' 'Gly' 'much' 'greater' 'than' 'Pro7' '-' '-' '-' '-' 'Thr' 'greater'
 'than' 'Tyr29' '-' '-' '-' '-' 'Gly' 'greater' 'than' 'Leu47' '-' '-' '-'
 '-' 'His' '.']","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]"
2684,"['It' 'is' 'concluded' 'that' 'suppression' 'of' 'elevated' 'prolactin'
 'levels' 'in' 'progressive' 'metastatic' 'breast' 'cancer' 'patients'
 'is' 'not' 'effective' 'in' 'restoring' 'tumor' 'sensitivity' 'to'
 'chemotherapy' '.']",[0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
2685,"['We' 'report' 'a' 'prevalence' 'study' 'of' 'the' 'best' 'visual'
 'acuity' 'in' 'the' 'affected' 'eye' 'of' '100' 'selected' 'patients'
 'with' 'herpetic' 'keratitis' 'seen' 'during' 'a' 'two' '-' 'year'
 'period' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
2686,"['We' 'also' 'found' 'an' 'eIF' '-' '4A' 'intronless' 'retroposon' 'which'
 ',' 'when' 'compared' 'to' 'the' 'cDNA' ',' 'contains' 'a' 'single'
 'nucleotide' 'difference' '.']",[0 0 0 0 1 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
2687,"['After' 'infection' 'of' '293' 'cells' '(' 'which' 'provide'
 'complementary' 'E1a' '-' 'E1b' 'functions' ')' ',' 'both' 'viruses'
 'directed' 'equal' 'amounts' 'of' 'P' '/' 'C' '-' 'specific' 'mRNA'
 'transcription' '.']",[0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 1 2 2 2 2 2 0 0]
2688,"['This' 'observation' 'cannot' 'be' 'explained' 'by' 'the' 'scanning'
 'model' 'for' 'ribosomal' 'initiation' 'and' 'suggests' 'that'
 'ribosomes' 'may' 'be' 'binding' 'directly' 'at' 'an' 'internal' 'mRNA'
 'site' 'at' 'or' 'near' 'the' 'initiator' 'AUG' 'codon' 'for' 'the' 'C'
 'protein' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0]
